;languages;keywords
420;['french'];['countryside', 'sport', 'wine', 'history', 'food', 'museums', 'music', 'beer']
421;['english'];['wine', 'cinema', 'countryside', 'museums', 'archeology']
422;['english'];['museums', 'cinema', 'music', 'history', 'beer', 'food']
423;['chinese'];['music', 'cinema']
424;['chinese'];['cinema', 'tracking', 'history']
425;['english'];['cinema', 'art', 'wine']
426;['dutch'];['food', 'archeology', 'cinema', 'tracking']
427;['bulgarian'];['tracking', 'wine']
428;['spanish'];['cinema', 'tracking', 'literature', 'history', 'archeology', 'museums']
429;['deutsche'];['wine', 'countryside', 'tracking', 'archeology', 'history', 'sport']
430;['french'];['archeology', 'history', 'cinema', 'music', 'beer', 'art']
431;['chinese'];['art', 'cinema', 'museums']
432;['dutch'];['history', 'wine', 'food', 'literature', 'cinema']
433;['chinese'];['rafting', 'wine', 'museums', 'countryside', 'history', 'music', 'art']
434;['italian'];['rafting', 'art', 'history', 'countryside']
435;['english'];['tracking', 'literature', 'food']
436;['french'];['tracking', 'wine', 'music', 'countryside', 'museums', 'archeology', 'history', 'art']
437;['deutsche'];['music', 'beer', 'tracking']
438;['deutsche'];['archeology']
439;['spanish'];['museums', 'food', 'literature', 'tracking', 'countryside', 'beer', 'wine']
440;['dutch'];['sport', 'archeology', 'tracking']
441;['deutsche'];['wine', 'sport', 'history']
442;['chinese'];['sport', 'literature', 'cinema', 'history', 'rafting', 'archeology', 'tracking']
443;['deutsche'];['history', 'art', 'food', 'beer']
444;['french'];['sport', 'rafting']
445;['bulgarian'];['food', 'countryside', 'cinema']
446;['deutsche'];['literature', 'countryside', 'history', 'archeology']
447;['english'];['music', 'museums', 'food']
448;['bulgarian'];['rafting', 'tracking']
449;['italian'];['history', 'beer', 'sport', 'food', 'wine', 'museums']
450;['english'];['sport', 'rafting', 'beer', 'tracking', 'cinema', 'museums', 'archeology']
451;['deutsche'];['tracking', 'food', 'museums', 'sport']
452;['chinese'];['archeology', 'music', 'art', 'wine', 'sport', 'beer', 'literature', 'countryside']
453;['bulgarian'];['rafting', 'art', 'literature', 'food']
454;['bulgarian'];['cinema', 'rafting']
455;['deutsche'];['museums', 'archeology', 'history', 'literature']
456;['italian'];['sport', 'art', 'cinema', 'beer', 'history']
457;['french'];['beer', 'tracking']
458;['italian'];['rafting', 'sport', 'music', 'beer']
459;['chinese'];['literature', 'tracking', 'countryside', 'museums', 'art']
460;['french'];['beer', 'museums', 'literature', 'cinema', 'sport']
461;['deutsche'];['countryside']
462;['spanish'];['museums', 'literature', 'wine', 'food', 'sport', 'beer', 'countryside']
463;['spanish'];['history', 'archeology', 'music', 'countryside', 'beer', 'wine']
464;['deutsche'];['wine', 'art']
465;['english'];['food', 'art', 'beer']
466;['bulgarian'];['sport', 'tracking', 'wine', 'music', 'beer', 'history', 'museums', 'literature', 'food']
467;['french'];['music', 'literature', 'food', 'archeology']
468;['deutsche'];['music', 'food', 'literature']
469;['italian'];['wine', 'history', 'art', 'tracking']
470;['spanish'];['art', 'wine', 'beer', 'cinema', 'sport', 'literature', 'tracking']
471;['chinese'];['tracking', 'rafting', 'wine', 'countryside', 'cinema', 'art', 'archeology', 'sport', 'history', 'museums', 'literature']
472;['chinese'];['archeology', 'cinema', 'sport', 'art']
473;['italian'];['music', 'wine']
474;['bulgarian'];['art', 'wine', 'cinema']
475;['english'];['beer', 'art', 'countryside', 'sport']
476;['spanish'];['music', 'cinema', 'food']
477;['dutch'];['music', 'cinema']
478;['english'];['music', 'museums', 'literature', 'wine', 'food']
479;['english'];['rafting']
480;['french'];['wine']
481;['french'];['literature', 'beer', 'music', 'countryside', 'rafting', 'cinema', 'food']
482;['dutch'];['music', 'art', 'rafting', 'history', 'literature', 'food']
483;['italian'];['museums', 'wine', 'history', 'tracking', 'archeology', 'cinema']
484;['deutsche'];['tracking', 'art', 'museums', 'food']
485;['chinese'];['sport', 'tracking', 'wine', 'countryside', 'literature']
486;['chinese'];['music', 'tracking', 'rafting', 'literature', 'wine', 'history']
487;['dutch'];['beer', 'cinema', 'tracking', 'art', 'archeology', 'literature']
488;['italian'];['archeology', 'museums', 'history', 'food', 'literature', 'rafting']
489;['deutsche'];['cinema']
490;['dutch'];['beer', 'food', 'history', 'tracking', 'archeology', 'literature', 'wine', 'countryside', 'rafting']
491;['spanish'];['sport', 'archeology', 'rafting', 'tracking', 'wine', 'cinema', 'museums']
492;['dutch'];['archeology', 'rafting', 'music']
493;['chinese'];['history', 'tracking', 'music', 'museums', 'art', 'sport']
494;['deutsche'];['archeology', 'tracking', 'sport', 'countryside']
495;['french'];['music', 'museums', 'literature', 'cinema', 'tracking']
496;['bulgarian'];['countryside', 'food', 'wine', 'music', 'history']
497;['french'];['music', 'beer', 'rafting', 'museums', 'tracking']
498;['italian'];['sport']
499;['italian'];['archeology', 'countryside', 'rafting', 'wine']
